log,Model,Examination,Techniques,Test started,Test fail,Test fin,duration(ms),Initial,Tautology,ITS,BMC,Induction,PINS,PINSPOR,version
log339653741.txt,AutoFlight-PT-01a,StateSpace,-ltsminpath -its -smt ,5,0,5,6166,0,0,0,0,0,0,0,201802092133
log339653741.txt,Angiogenesis-PT-01,StateSpace,-ltsminpath -its -smt ,5,0,5,3060,0,0,0,0,0,0,0,201802092133
log339653741.txt,AutoFlight-PT-01a,UpperBounds,-ltsminpath -its -smt ,18,0,18,3017,0,0,0,0,0,0,0,201802092133
log339653741.txt,Angiogenesis-PT-01,UpperBounds,-ltsminpath -its -smt ,18,0,18,3187,0,0,0,0,0,0,0,201802092133
log339653741.txt,AutoFlight-PT-01a,CTLCardinality,-ltsminpath -its -smt ,18,0,18,3389,0,0,0,0,0,0,0,201802092133
log339653741.txt,AirplaneLD-PT-0010,UpperBounds,-ltsminpath -its -smt ,18,0,18,3297,0,0,0,0,0,0,0,201802092133
log339653741.txt,Angiogenesis-PT-01,CTLFireability,-ltsminpath -its -smt ,18,0,18,3446,0,0,0,0,0,0,0,201802092133
log339653741.txt,AutoFlight-PT-01a,CTLFireability,-ltsminpath -its -smt ,18,0,18,3257,0,0,0,0,0,0,0,201802092133
log339653741.txt,AirplaneLD-PT-0010,StateSpace,-ltsminpath -its -smt ,5,0,5,3246,0,0,0,0,0,0,0,201802092133
log339653741.txt,Angiogenesis-PT-01,CTLCardinality,-ltsminpath -its -smt ,18,0,18,3503,0,0,0,0,0,0,0,201802092133
log339653741.txt,CircadianClock-PT-000001,StateSpace,-ltsminpath -its -smt ,5,0,5,2768,0,0,0,0,0,0,0,201802092133
log339653741.txt,CircularTrains-PT-012,StateSpace,-ltsminpath -its -smt ,5,0,5,2622,0,0,0,0,0,0,0,201802092133
log339653741.txt,CircadianClock-PT-000001,UpperBounds,-ltsminpath -its -smt ,18,0,18,2910,0,0,0,0,0,0,0,201802092133
log339653741.txt,CircularTrains-PT-012,UpperBounds,-ltsminpath -its -smt ,18,0,18,3086,0,0,0,0,0,0,0,201802092133
